timestamp,ticket,tier2,intent_reason,description,detail
2026-01-13T11:18:16.111988,LOGFTC-37965,,LLM failure,OC: 3220043547 sin cambio de estado fue anulada desde WMOS,
2026-01-13T11:18:16.114774,LOGFTC-37965,,LLM failure,OC: 3220043547 sin cambio de estado fue anulada desde WMOS,
2026-01-13T11:18:21.524920,LOGFTC-37823,,"Review / investigation request, not an action","Buen día team, favor su apoyo con la revisión de la siguiente orden *3218380853,* la cual enviaron el evento FULFILMENT_ORDER_PACKAGES_ANNULLED con ""multiPart"":

string""true"" y deberia ser “false”. ",
2026-01-13T11:18:21.526991,LOGFTC-37823,,"Review / investigation request, not an action","Buen día team, favor su apoyo con la revisión de la siguiente orden *3218380853,* la cual enviaron el evento FULFILMENT_ORDER_PACKAGES_ANNULLED con ""multiPart"":

string""true"" y deberia ser “false”. ",
2026-01-13T11:18:23.463881,LOGFTC-37813,,Investigation is required to understand the issue and determine the correct course of action.,"Error en sincronización de estado, ordenes no son canceladas en 360 en proceso habitual",
2026-01-13T11:18:23.466739,LOGFTC-37813,,Investigation is required to understand the issue and determine the correct course of action.,"Error en sincronización de estado, ordenes no son canceladas en 360 en proceso habitual",
2026-01-13T11:18:26.291376,LOGFTC-37785,,User is requesting review/investigation of specific orders without explicitly asking to change state.,"Buen día team, favor su apoyo revisando las siguientes ordenes: 3220184630, 3220184250, 3220184807 las cuales no logramos ver en el header el atributo: ""x-site-id"": ""[marketplace.falabella.com|http://marketplace.falabella.com]"" en el evento FO_ITEMS_ANNULLED.

Favor su apoyo revisando la casuística para estos casos particulares",
2026-01-13T11:18:26.293436,LOGFTC-37785,,User is requesting review/investigation of specific orders without explicitly asking to change state.,"Buen día team, favor su apoyo revisando las siguientes ordenes: 3220184630, 3220184250, 3220184807 las cuales no logramos ver en el header el atributo: ""x-site-id"": ""[marketplace.falabella.com|http://marketplace.falabella.com]"" en el evento FO_ITEMS_ANNULLED.

Favor su apoyo revisando la casuística para estos casos particulares",
2026-01-13T11:18:49.855307,LOGFTC-37680,,"Review / investigation request, not an action","_Equipo, solicitamos su apoyo reenviando los eventos_ {{FULFILMENT_ORDER_ITEM_QUANTITY_DISPATCHED}} _y posteriormente_ {{ORDER_360_NEW_PROMISE_DATE_EVENT}} _a Masso, para que la nueva promesa de entrega se refleje en el portal. Las órdenes involucradas son_:
3P

3220194378
3219424865
3218324327
3219893534
3220332335
3219572839
3219999982
3220277977
3220021690

","3220194378
3219424865
3218324327
3219893534
3220332335
3219572839
3219999982
3220277977
3220021690"
2026-01-13T11:18:49.859873,LOGFTC-37680,,"Review / investigation request, not an action","_Equipo, solicitamos su apoyo reenviando los eventos_ {{FULFILMENT_ORDER_ITEM_QUANTITY_DISPATCHED}} _y posteriormente_ {{ORDER_360_NEW_PROMISE_DATE_EVENT}} _a Masso, para que la nueva promesa de entrega se refleje en el portal. Las órdenes involucradas son_:
3P

3220194378
3219424865
3218324327
3219893534
3220332335
3219572839
3219999982
3220277977
3220021690

","3220194378
3219424865
3218324327
3219893534
3220332335
3219572839
3219999982
3220277977
3220021690"
